index,model_name,vocab_size,max_seq_length,to_lower,use_punct,embedding_dim,embedding_type,embedding_source,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
55,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.841799,73.26939999999999,0.7769529000000001,74.513394,0.8647404000000001,71.745956,0.7187346738597352,0.7187346738597352,0.7187346738597352,0.4625403683843321,0.32257000397049873,0.4625403683843321,0.6982041818206417,0.7187346738597352,0.6882464685345606
56,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8438045,73.26241,0.77751344,74.60698500000001,0.8597434000000002,72.60741999999999,0.7270720941638058,0.7270720941638058,0.7270720941638059,0.4626470242260577,0.3632843295448396,0.4626470242260577,0.7053749110276458,0.7270720941638058,0.7000371002121533
57,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.8451091999999999,73.18146,0.7770095,74.68026,0.8480960999999999,73.20382,0.7336929867582148,0.7336929867582148,0.7336929867582148,0.4182297581013226,0.3360569910740374,0.4182297581013226,0.7020005877735197,0.7336929867582148,0.7038888383477168
58,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84409875,73.18968000000001,0.78168696,74.474657,0.8581880999999999,72.49581,0.7265816576753309,0.7265816576753309,0.7265816576753311,0.4274592684748909,0.32241165270989136,0.4274592684748909,0.691229550917209,0.7265816576753309,0.6947764455096508
59,dcnn,10000,128,True,True,50,glove,glove.6B.50d,0.84337425,73.231727,0.7785639,74.59741,0.85552007,71.9587,0.7211868563021089,0.7211868563021089,0.7211868563021089,0.38665767396284667,0.3364290542352202,0.38665767396284667,0.6904639923490054,0.7211868563021089,0.6883874852131805
60,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.9642898000000001,72.707146,0.9100323,74.25924,0.98974603,70.47642499999999,0.7059833251593919,0.7059833251593919,0.7059833251593919,0.2935854034224977,0.25179612862319817,0.2935854034224977,0.6581828242879728,0.7059833251593919,0.6632791385741668
61,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.9750552,72.609836,0.940102,73.54975999999999,0.99102896,70.469445,0.7062285434036293,0.7062285434036293,0.7062285434036293,0.30980634265011897,0.27306640538513466,0.30980634265011897,0.6607382251217936,0.7062285434036293,0.6625807719740218
62,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.96378464,72.61486999999998,0.9298459000000001,73.922235,1.0107715,70.82868,0.7101520353114271,0.7101520353114271,0.7101520353114271,0.33053445160480954,0.26472957658690355,0.33053445160480954,0.6645335808079935,0.7101520353114271,0.6704335626280837
63,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.9640857,72.59166,0.9254701,74.116176,0.9921511999999999,70.19043,0.702795487984306,0.702795487984306,0.702795487984306,0.3095404904877942,0.2623964542013887,0.3095404904877942,0.6762085579604901,0.702795487984306,0.6608501437061327
64,rcnn,10000,128,False,True,50,glove,glove.6B.50d,0.95187545,72.919,0.90291494,74.28258000000001,0.99906385,71.17745,0.713339872486513,0.713339872486513,0.713339872486513,0.3340545032567691,0.24232287627556534,0.3340545032567691,0.6708519842446737,0.713339872486513,0.6759786799674599
